PAAC2_A,PAAC2_C,PAAC2_D,PAAC2_E,PAAC2_F,PAAC2_G,PAAC2_H,PAAC2_I,PAAC2_K,PAAC2_L,PAAC2_M,PAAC2_N,PAAC2_P,PAAC2_Q,PAAC2_R,PAAC2_S,PAAC2_T,PAAC2_V,PAAC2_W,PAAC2_Y,PAAC2_lam1,PAAC2_lam2,Target
0,3.57,0,0,7.14,3.57,14.29,3.57,3.57,3.57,10.71,3.57,10.71,7.14,3.57,0,10.71,7.14,3.57,3.57,0.0602,0.0609,1
5,5,5,5,20,5,0,5,5,10,0,0,20,0,0,5,5,5,0,0,0.0682,0.0645,1
3.57,0,10.71,0,0,10.71,3.57,7.14,7.14,3.57,3.57,10.71,10.71,3.57,14.29,0,0,3.57,3.57,3.57,0.1052,0.0972,1
10,0,20,5,0,5,0,0,0,15,5,0,5,5,5,5,0,20,0,0,0.0874,0.0755,1
4,0,4,0,4,8,0,0,8,32,4,0,4,4,12,0,4,4,4,4,0.1099,0.1233,1
3.57,3.57,10.71,0,7.14,0,3.57,0,3.57,0,14.29,3.57,7.14,7.14,17.86,0,7.14,3.57,0,7.14,0.0681,0.0638,1
20,6.67,0,0,6.67,13.33,0,0,0,33.33,6.67,6.67,0,6.67,0,0,0,0,0,0,0.0531,0.0456,1
26.67,0,20,0,6.67,0,0,0,0,13.33,6.67,6.67,0,0,6.67,0,0,13.33,0,0,0.0756,0.0698,1
0,3.57,0,0,14.29,0,7.14,3.57,17.86,0,14.29,7.14,3.57,0,17.86,0,0,7.14,0,3.57,0.0851,0.0768,1
4.76,0,0,0,23.81,4.76,0,4.76,9.52,4.76,0,0,0,0,28.57,4.76,4.76,9.52,0,0,0.0707,0.0891,1
8,0,0,4,0,12,12,0,4,28,0,0,8,0,0,4,0,20,0,0,0.0458,0.0678,1
5.56,5.56,11.11,0,5.56,0,0,5.56,5.56,16.67,0,0,0,0,5.56,11.11,0,11.11,16.67,0,0.1263,0.0956,1
7.69,0,0,0,15.38,0,0,0,30.77,15.38,0,0,7.69,0,0,0,7.69,15.38,0,0,0.0305,0.0606,1
0,5.56,16.67,5.56,5.56,0,0,0,5.56,22.22,0,0,0,0,5.56,11.11,0,5.56,16.67,0,0.1252,0.1216,1
6.67,3.33,13.33,0,0,6.67,3.33,0,3.33,3.33,13.33,3.33,20,0,3.33,0,6.67,6.67,3.33,3.33,0.0692,0.0732,1
12.5,0,6.25,18.75,6.25,0,6.25,6.25,0,6.25,6.25,0,0,12.5,0,12.5,0,6.25,0,0,0.0546,0.0702,1
8.33,4.17,0,0,4.17,8.33,8.33,4.17,0,0,4.17,0,4.17,0,12.5,4.17,12.5,16.67,4.17,4.17,0.0583,0.077,1
3.33,16.67,3.33,0,6.67,10,0,3.33,3.33,3.33,3.33,6.67,10,3.33,6.67,3.33,13.33,3.33,0,0,0.0591,0.0885,1
0,0,15,5,0,5,0,10,0,10,0,5,5,0,10,10,10,5,10,0,0.0961,0.1295,1
6.9,3.45,3.45,0,6.9,10.34,3.45,6.9,24.14,6.9,3.45,3.45,0,3.45,0,3.45,3.45,6.9,3.45,0,0.086,0.1268,1
6.67,13.33,0,0,6.67,10,0,6.67,6.67,10,0,6.67,0,3.33,13.33,0,10,6.67,0,0,0.1077,0.0969,1
11.76,5.88,5.88,0,0,0,0,0,5.88,5.88,5.88,5.88,0,5.88,5.88,5.88,17.65,5.88,0,11.76,0.0726,0.0572,1
0,0,0,5,5,0,0,0,10,20,0,5,15,5,0,10,5,15,0,5,0.0643,0.0461,1
11.54,7.69,0,7.69,0,19.23,0,3.85,0,15.38,0,3.85,0,0,7.69,7.69,3.85,3.85,0,7.69,0.0806,0.0644,1
6.67,6.67,3.33,0,6.67,0,6.67,6.67,0,13.33,3.33,3.33,13.33,0,10,6.67,0,6.67,6.67,0,0.0993,0.0857,1
16.67,0,0,5.56,0,11.11,0,0,5.56,16.67,11.11,0,5.56,5.56,0,11.11,5.56,5.56,0,0,0.0522,0.0734,1
0,8,8,4,0,0,0,0,8,4,0,4,12,0,16,0,20,4,12,0,0.0775,0.0598,1
0,3.57,3.57,0,7.14,7.14,3.57,3.57,17.86,0,7.14,3.57,3.57,3.57,21.43,0,14.29,0,0,0,0.0789,0.0885,1
7.69,7.69,0,0,3.85,3.85,7.69,3.85,15.38,3.85,7.69,3.85,11.54,3.85,3.85,0,7.69,3.85,0,3.85,0.091,0.0537,1
7.69,7.69,0,0,0,7.69,0,0,15.38,15.38,0,0,0,7.69,0,7.69,0,15.38,15.38,0,0.0802,0.0958,1
28,8,0,8,12,4,4,4,0,12,4,4,0,4,0,0,0,8,0,0,0.0555,0.0472,1
16.67,0,0,0,8.33,8.33,0,0,0,25,0,0,0,0,8.33,0,8.33,0,8.33,16.67,0.0876,0.108,1
29.41,5.88,0,5.88,0,0,0,11.76,0,0,0,5.88,0,5.88,11.76,0,5.88,17.65,0,0,0.0791,0.0999,1
10,0,3.33,10,0,3.33,3.33,13.33,16.67,10,3.33,3.33,0,3.33,6.67,0,6.67,6.67,0,0,0.0898,0.118,1
5,0,0,0,5,5,0,0,10,20,5,0,5,0,10,10,0,20,0,5,0.0402,0.0529,1
20,0,0,0,0,20,0,10,10,20,0,0,0,0,20,0,0,0,0,0,0.1394,0.1206,1
3.57,7.14,3.57,7.14,3.57,0,3.57,7.14,10.71,3.57,7.14,3.57,7.14,0,17.86,3.57,7.14,3.57,0,0,0.0965,0.0914,1
0,9.52,4.76,0,0,23.81,0,4.76,9.52,9.52,9.52,4.76,4.76,0,4.76,0,4.76,4.76,0,4.76,0.0556,0.0852,1
0,0,8.33,0,0,0,8.33,0,8.33,8.33,8.33,16.67,0,0,8.33,25,0,0,8.33,0,0.096,0.0748,1
15.79,0,0,10.53,0,31.58,0,0,0,31.58,0,0,0,0,0,5.26,5.26,0,0,0,0.0487,0.0557,1
8,8,4,0,4,8,0,4,8,0,4,0,8,0,0,12,28,4,0,0,0.0456,0.0344,1
4.76,4.76,14.29,4.76,4.76,4.76,0,9.52,9.52,4.76,0,4.76,4.76,0,4.76,0,14.29,4.76,0,4.76,0.0866,0.083,1
15.38,0,0,0,0,0,0,7.69,30.77,7.69,0,0,7.69,0,0,0,7.69,23.08,0,0,0.0314,0.0508,1
16.67,0,0,5.56,0,16.67,0,16.67,0,11.11,0,0,5.56,0,0,0,5.56,22.22,0,0,0.0354,0.0478,1
7.69,0,0,0,0,7.69,0,0,15.38,0,0,0,7.69,0,38.46,7.69,0,15.38,0,0,0.0951,0.129,1
13.33,13.33,0,20,0,0,0,0,0,20,0,6.67,6.67,0,6.67,0,0,0,13.33,0,0.1032,0.0988,1
4.55,4.55,13.64,4.55,18.18,9.09,4.55,0,0,9.09,4.55,4.55,4.55,0,0,9.09,9.09,0,0,0,0.0757,0.0894,1
0,6.25,0,0,0,6.25,0,6.25,0,43.75,0,6.25,0,6.25,6.25,0,0,0,18.75,0,0.0933,0.0799,1
11.11,11.11,11.11,0,5.56,0,0,5.56,5.56,11.11,5.56,0,0,0,5.56,11.11,0,0,16.67,0,0.1242,0.0922,1
13.33,0,0,6.67,0,13.33,0,0,13.33,6.67,6.67,26.67,6.67,0,0,0,6.67,0,0,0,0.0833,0.0472,1
10.34,3.45,6.9,3.45,3.45,10.34,6.9,0,6.9,3.45,17.24,6.9,0,6.9,0,3.45,0,3.45,0,6.9,0.0724,0.0711,1
8.33,0,0,0,0,0,8.33,8.33,0,8.33,16.67,0,0,8.33,25,0,8.33,0,0,8.33,0.1287,0.1058,1
13.33,0,0,0,6.67,0,6.67,0,6.67,20,13.33,6.67,0,0,0,0,6.67,20,0,0,0.0529,0.054,1
7.14,0,7.14,14.29,0,3.57,0,3.57,7.14,21.43,0,14.29,0,0,3.57,7.14,3.57,7.14,0,0,0.077,0.1012,1
6.67,0,6.67,0,0,6.67,6.67,0,13.33,13.33,0,0,0,20,13.33,0,6.67,6.67,0,0,0.0884,0.0861,1
15.79,5.26,10.53,0,0,0,10.53,0,0,0,0,10.53,5.26,5.26,15.79,0,10.53,10.53,0,0,0.0737,0.0626,1
14.29,0,14.29,9.52,0,0,0,0,19.05,4.76,0,4.76,0,0,4.76,4.76,9.52,14.29,0,0,0.0847,0.091,1
11.11,0,0,0,0,5.56,0,11.11,0,5.56,5.56,0,0,0,0,5.56,5.56,27.78,22.22,0,0.0771,0.0348,1
31.03,0,0,0,0,0,0,0,20.69,13.79,3.45,6.9,0,0,0,6.9,3.45,10.34,3.45,0,0.0759,0.105,1
23.81,0,0,4.76,0,0,0,0,9.52,4.76,9.52,0,0,0,33.33,4.76,4.76,4.76,0,0,0.1221,0.1198,1
20,0,5,0,5,10,5,5,0,10,5,0,10,0,5,10,5,5,0,0,0.0568,0.0767,1
0,0,0,0,3.85,0,7.69,3.85,26.92,15.38,3.85,0,0,0,19.23,0,3.85,15.38,0,0,0.1,0.1657,1
0,0,0,0,9.52,4.76,4.76,9.52,0,14.29,0,0,0,9.52,42.86,0,0,4.76,0,0,0.0834,0.0918,1
7.14,7.14,7.14,14.29,7.14,7.14,0,7.14,0,7.14,7.14,0,7.14,0,0,7.14,14.29,0,0,0,0.0543,0.0665,1
0,8,4,4,4,8,8,4,4,16,0,4,12,0,4,0,4,4,12,0,0.0837,0.0882,1
0,3.85,3.85,3.85,0,0,7.69,11.54,0,0,7.69,3.85,3.85,0,7.69,3.85,15.38,7.69,3.85,15.38,0.0795,0.0573,1
11.11,11.11,5.56,0,0,16.67,0,5.56,5.56,0,0,5.56,11.11,0,16.67,0,11.11,0,0,0,0.0875,0.1141,1
0,0,4.76,0,0,4.76,4.76,4.76,14.29,0,14.29,4.76,9.52,0,23.81,0,4.76,9.52,0,0,0.09,0.1114,1
0,0,12.5,0,6.25,6.25,0,0,6.25,0,0,12.5,12.5,0,6.25,0,18.75,0,0,18.75,0.0802,0.086,1
14.29,21.43,7.14,0,0,0,14.29,0,0,21.43,0,7.14,0,7.14,0,0,0,0,0,7.14,0.0394,0.0406,1
6.9,6.9,3.45,0,0,6.9,3.45,3.45,0,0,10.34,3.45,10.34,3.45,0,10.34,17.24,13.79,0,0,0.0316,0.028,1
0,0,22.22,5.56,11.11,0,0,5.56,11.11,0,5.56,5.56,16.67,5.56,0,0,11.11,0,0,0,0.0869,0.0454,1
7.41,0,7.41,7.41,0,0,3.7,7.41,18.52,3.7,3.7,7.41,0,0,18.52,7.41,7.41,0,0,0,0.0898,0.094,1
9.09,0,4.55,4.55,9.09,0,9.09,18.18,4.55,0,9.09,4.55,13.64,0,9.09,0,4.55,0,0,0,0.0822,0.1018,1
6.67,6.67,10,0,0,3.33,0,3.33,6.67,0,10,0,10,0,3.33,0,20,16.67,0,3.33,0.0613,0.0597,1
5.56,5.56,0,0,0,16.67,0,0,11.11,5.56,0,0,0,5.56,27.78,16.67,0,5.56,0,0,0.13,0.1093,1
7.14,3.57,7.14,0,0,0,3.57,3.57,10.71,7.14,10.71,0,3.57,3.57,17.86,3.57,14.29,3.57,0,0,0.0805,0.0469,1
0,6.25,6.25,0,0,6.25,0,0,18.75,12.5,0,6.25,6.25,0,18.75,0,6.25,6.25,6.25,0,0.1082,0.107,1
4.17,4.17,4.17,4.17,0,8.33,0,0,4.17,0,8.33,4.17,33.33,0,16.67,4.17,0,4.17,0,0,0.0628,0.0779,1
7.69,0,11.54,3.85,7.69,3.85,0,11.54,7.69,0,3.85,3.85,7.69,3.85,3.85,3.85,7.69,7.69,3.85,0,0.1104,0.0816,1
33.33,0,0,0,0,0,6.67,0,6.67,20,6.67,20,0,0,0,0,0,6.67,0,0,0.0609,0.058,1
15.38,7.69,0,0,7.69,0,0,0,30.77,0,0,0,0,0,0,0,7.69,23.08,0,7.69,0.0341,0.0738,1
3.85,7.69,11.54,0,3.85,3.85,3.85,3.85,11.54,0,11.54,11.54,0,11.54,0,0,7.69,3.85,3.85,0,0.0618,0.076,1
12.5,6.25,0,12.5,0,0,0,0,6.25,18.75,0,0,6.25,6.25,6.25,6.25,6.25,0,12.5,0,0.0963,0.0905,1
8,0,8,0,4,4,4,8,4,8,0,4,0,0,20,8,8,4,0,8,0.1134,0.0745,1
0,0,4.55,13.64,4.55,4.55,0,9.09,4.55,9.09,0,4.55,4.55,0,18.18,0,4.55,13.64,0,4.55,0.1218,0.1389,1
5,5,5,5,20,5,0,5,5,15,0,0,20,0,0,5,0,5,0,0,0.0721,0.0651,1
5.56,5.56,5.56,5.56,0,0,11.11,5.56,11.11,5.56,0,11.11,0,0,16.67,5.56,5.56,0,0,5.56,0.0646,0.0757,1
5,5,0,10,20,5,0,5,5,15,0,0,20,0,0,5,0,5,0,0,0.0714,0.0652,1
25,0,6.25,6.25,0,0,0,0,25,6.25,0,0,0,0,6.25,0,6.25,12.5,0,6.25,0.0886,0.0614,1
7.69,0,0,0,30.77,0,0,7.69,30.77,0,0,0,0,0,0,0,0,15.38,0,7.69,0.0345,0.0581,1
0,0,10,30,3.33,0,0,3.33,20,10,3.33,6.67,0,0,0,0,3.33,6.67,3.33,0,0.0616,0.0957,1
20,0,0,0,6.67,0,0,0,26.67,0,0,0,0,0,0,0,6.67,33.33,0,6.67,0.038,0.0709,1
5,0,5,5,10,0,5,5,0,0,0,10,5,10,5,0,20,15,0,0,0.0805,0.0698,1
8,0,12,4,0,0,8,4,8,20,0,8,0,4,0,12,4,8,0,0,0.0776,0.0535,1
10.53,5.26,5.26,0,0,5.26,0,10.53,0,0,26.32,0,10.53,0,10.53,0,5.26,10.53,0,0,0.072,0.0766,1
9.52,4.76,14.29,0,0,14.29,4.76,9.52,4.76,0,0,4.76,4.76,0,0,4.76,4.76,14.29,4.76,0,0.0523,0.0748,1
5,5,0,5,20,0,0,15,5,5,0,5,20,0,0,5,5,5,0,0,0.0546,0.0593,1
6.67,6.67,6.67,6.67,13.33,0,0,0,13.33,0,6.67,0,0,0,13.33,6.67,6.67,6.67,0,6.67,0.0835,0.0648,1
0,7.69,0,0,15.38,7.69,0,23.08,7.69,7.69,0,0,0,0,0,23.08,0,7.69,0,0,0.0665,0.0842,1
7.69,0,0,0,15.38,0,0,7.69,23.08,15.38,0,7.69,0,0,15.38,7.69,0,0,0,0,0.1408,0.0606,1
7.69,0,7.69,3.85,3.85,15.38,0,7.69,15.38,0,3.85,0,0,0,23.08,0,11.54,0,0,0,0.0982,0.0776,1
0,20,5,0,10,0,10,5,10,0,5,0,15,5,0,0,5,0,10,0,0.0697,0.0666,1
16.67,0,16.67,0,5.56,5.56,5.56,0,0,11.11,5.56,0,0,0,11.11,5.56,16.67,0,0,0,0.0874,0.1131,1
8,0,0,4,4,12,8,4,8,20,0,0,8,0,0,4,0,20,0,0,0.0559,0.0775,1
5.88,5.88,0,23.53,0,5.88,0,5.88,5.88,17.65,0,0,5.88,0,0,0,17.65,0,5.88,0,0.0775,0.0924,1
3.33,3.33,13.33,0,0,10,6.67,3.33,6.67,13.33,13.33,6.67,0,6.67,0,3.33,0,6.67,0,3.33,0.0663,0.0817,1
20,0,20,6.67,0,0,0,0,0,20,0,0,0,0,0,0,6.67,20,0,6.67,0.0754,0.0706,1
14.29,4.76,9.52,9.52,4.76,0,0,0,9.52,4.76,0,4.76,4.76,0,0,4.76,4.76,9.52,0,14.29,0.0784,0.0852,1
27.27,0,9.09,9.09,9.09,0,0,0,18.18,0,0,0,0,0,0,9.09,9.09,0,9.09,0,0.0936,0.084,1
6.25,0,6.25,6.25,0,12.5,0,0,0,25,0,12.5,0,0,18.75,0,0,6.25,6.25,0,0.1116,0.1152,1
10.71,7.14,3.57,7.14,0,7.14,3.57,7.14,7.14,0,3.57,3.57,10.71,3.57,10.71,3.57,3.57,3.57,3.57,0,0.0816,0.1165,1
15.38,0,0,0,15.38,0,0,0,30.77,0,7.69,0,0,0,0,0,0,30.77,0,0,0.0387,0.0627,1
4,4,8,0,4,12,12,0,8,8,8,0,4,0,0,8,12,4,0,4,0.0484,0.0585,1
4,12,16,8,8,4,0,4,4,4,4,4,4,0,0,0,8,4,0,12,0.071,0.0756,1
3.7,0,0,0,7.41,14.81,3.7,3.7,3.7,11.11,3.7,0,7.41,0,11.11,7.41,11.11,11.11,0,0,0.0648,0.0505,1
30,0,0,0,0,0,0,0,10,30,0,0,10,0,10,0,0,10,0,0,0.027,0.0441,1
16.67,0,0,0,8.33,16.67,0,8.33,0,29.17,0,4.17,0,4.17,0,4.17,0,4.17,4.17,0,0.0635,0.068,1
14.29,9.52,0,4.76,9.52,9.52,0,0,0,9.52,0,0,0,0,4.76,4.76,9.52,14.29,0,9.52,0.0847,0.0814,1
3.57,0,7.14,3.57,0,10.71,0,7.14,21.43,3.57,7.14,3.57,0,7.14,0,3.57,10.71,0,7.14,3.57,0.0917,0.1261,1
37.93,0,3.45,3.45,0,0,0,6.9,17.24,6.9,3.45,0,0,0,0,6.9,6.9,6.9,0,0,0.0667,0.0885,1
0,0,10.71,3.57,0,10.71,7.14,3.57,10.71,10.71,14.29,3.57,0,0,14.29,0,3.57,0,3.57,3.57,0.0983,0.1101,1
8,4,0,8,4,20,0,0,4,8,0,4,4,0,12,0,4,12,4,4,0.1425,0.0688,1
21.05,10.53,0,0,0,5.26,0,10.53,10.53,5.26,0,10.53,5.26,0,0,0,10.53,5.26,0,5.26,0.068,0.062,1
0,14.81,0,0,7.41,3.7,3.7,7.41,3.7,3.7,3.7,7.41,11.11,7.41,11.11,3.7,3.7,0,0,7.41,0.0634,0.0755,1
21.43,0,7.14,0,0,14.29,0,0,7.14,14.29,7.14,0,0,0,14.29,0,0,7.14,0,7.14,0.116,0.1001,1
0,0,0,6.67,13.33,0,0,6.67,33.33,6.67,0,0,6.67,0,13.33,0,6.67,0,0,6.67,0.0613,0.0621,1
0,5,5,10,5,10,10,0,5,15,5,5,5,0,5,5,0,5,5,0,0.0847,0.0555,1
0,5.56,5.56,0,0,5.56,0,0,5.56,22.22,5.56,0,0,0,22.22,5.56,5.56,11.11,5.56,0,0.1236,0.1602,1
0,3.57,3.57,0,10.71,0,3.57,3.57,3.57,0,3.57,0,3.57,0,35.71,0,10.71,14.29,0,3.57,0.0649,0.0827,1
7.14,0,0,0,3.57,3.57,0,7.14,10.71,7.14,7.14,0,3.57,0,21.43,3.57,7.14,17.86,0,0,0.0462,0.0835,1
5.56,0,0,0,5.56,5.56,5.56,5.56,16.67,5.56,0,5.56,0,0,33.33,5.56,0,0,5.56,0,0.1366,0.1269,1
0,0,12.5,25,12.5,6.25,0,0,6.25,12.5,0,6.25,0,0,6.25,0,6.25,0,6.25,0,0.0973,0.1307,1
5.88,5.88,17.65,0,0,0,5.88,11.76,5.88,11.76,0,0,5.88,0,17.65,0,11.76,0,0,0,0.0633,0.0868,1
0,8.33,0,8.33,0,8.33,0,0,8.33,25,0,0,8.33,0,0,0,16.67,0,16.67,0,0.0904,0.1161,1
0,0,0,0,10.53,0,5.26,0,5.26,10.53,5.26,5.26,5.26,0,26.32,0,10.53,15.79,0,0,0.1235,0.1221,1
4.76,4.76,0,9.52,0,19.05,0,4.76,0,19.05,0,9.52,4.76,0,0,4.76,4.76,14.29,0,0,0.0481,0.0525,1
10,0,0,0,10,0,10,10,20,10,0,0,0,0,20,10,0,0,0,0,0.1684,0.0657,1
0,0,16.67,5.56,0,22.22,0,0,16.67,5.56,5.56,0,5.56,0,11.11,5.56,0,0,5.56,0,0.121,0.1002,1
3.33,20,6.67,0,3.33,13.33,3.33,6.67,0,0,6.67,6.67,6.67,3.33,3.33,0,13.33,3.33,0,0,0.0532,0.0539,1
8.33,0,0,0,0,0,8.33,16.67,8.33,8.33,16.67,0,0,0,16.67,0,8.33,0,0,8.33,0.1205,0.1327,1
15,0,5,5,0,0,0,5,20,10,0,0,5,0,5,0,0,15,10,5,0.1258,0.0987,1
0,6.25,0,0,0,6.25,6.25,6.25,0,25,6.25,0,0,0,18.75,6.25,6.25,6.25,6.25,0,0.0633,0.0645,1
6.67,0,6.67,0,6.67,0,0,0,6.67,13.33,6.67,13.33,0,0,0,6.67,20,6.67,0,6.67,0.0723,0.064,1
6.67,0,0,0,6.67,0,6.67,0,20,6.67,0,0,0,0,6.67,0,6.67,26.67,0,13.33,0.0796,0.0883,1
0,0,0,0,0,23.53,5.88,5.88,11.76,0,5.88,5.88,0,5.88,17.65,5.88,0,5.88,0,5.88,0.1299,0.0965,1
8,4,8,0,8,8,4,0,0,0,12,4,24,0,4,8,4,4,0,0,0.0578,0.0661,1
30,0,5,0,0,0,0,5,10,15,0,0,10,0,10,0,0,15,0,0,0.0396,0.0475,1
10,30,0,3.33,0,6.67,0,0,6.67,6.67,0,3.33,6.67,0,3.33,3.33,10,3.33,3.33,3.33,0.0568,0.0511,1
15.38,0,0,7.69,0,0,0,0,30.77,7.69,0,0,0,0,0,0,7.69,23.08,0,7.69,0.0556,0.0722,1
10.71,0,3.57,7.14,7.14,0,0,7.14,7.14,7.14,3.57,7.14,14.29,0,0,10.71,3.57,7.14,0,3.57,0.07,0.0559,1
10.53,5.26,5.26,5.26,0,0,10.53,5.26,10.53,0,0,0,0,10.53,10.53,10.53,10.53,0,0,5.26,0.077,0.0767,1
3.85,0,3.85,7.69,7.69,3.85,3.85,3.85,11.54,7.69,11.54,3.85,3.85,0,7.69,11.54,0,7.69,0,0,0.091,0.1084,1
13.04,0,17.39,0,0,0,4.35,17.39,8.7,0,8.7,4.35,0,0,0,4.35,4.35,13.04,4.35,0,0.0828,0.0752,1
0,0,16.67,0,0,0,0,8.33,0,16.67,0,0,0,8.33,0,8.33,0,0,41.67,0,0.0809,0.1194,1
30,5,0,0,0,0,0,0,15,25,0,0,5,0,10,0,0,10,0,0,0.0434,0.0597,1
0,4,4,0,4,16,8,0,4,0,8,8,8,8,12,4,8,0,4,0,0.0974,0.0663,1
30,3.33,3.33,0,13.33,0,0,6.67,3.33,0,0,3.33,3.33,0,3.33,10,10,10,0,0,0.0723,0.0642,1
5,0,5,0,5,20,0,10,0,10,0,5,5,5,0,0,5,20,0,5,0.0626,0.0606,1
0,5.88,0,0,0,5.88,0,11.76,5.88,11.76,0,0,5.88,0,11.76,0,11.76,5.88,23.53,0,0.1422,0.0976,1
20,0,6.67,0,6.67,0,0,13.33,0,13.33,6.67,13.33,0,0,0,0,13.33,6.67,0,0,0.0429,0.0497,1
15.38,0,0,0,0,15.38,0,0,7.69,7.69,7.69,0,7.69,0,0,0,7.69,23.08,0,7.69,0.0628,0.046,1
17.65,0,0,5.88,11.76,11.76,0,0,5.88,5.88,0,5.88,5.88,0,11.76,5.88,0,0,11.76,0,0.1398,0.1076,1
5.88,0,5.88,0,5.88,0,0,0,23.53,23.53,0,0,5.88,5.88,5.88,5.88,5.88,5.88,0,0,0.0531,0.0636,1
15.79,10.53,15.79,0,0,10.53,0,0,0,10.53,0,0,0,5.26,0,15.79,5.26,10.53,0,0,0.0511,0.0512,1
