PAAC2_A,PAAC2_C,PAAC2_D,PAAC2_E,PAAC2_F,PAAC2_G,PAAC2_H,PAAC2_I,PAAC2_K,PAAC2_L,PAAC2_M,PAAC2_N,PAAC2_P,PAAC2_Q,PAAC2_R,PAAC2_S,PAAC2_T,PAAC2_V,PAAC2_W,PAAC2_Y,PAAC2_lam1,PAAC2_lam2,Target
3.85,0,3.85,11.54,0,0,3.85,3.85,15.38,3.85,11.54,7.69,0,3.85,7.69,7.69,3.85,7.69,0,3.85,0.0724,0.0906,1
0,20,3.33,3.33,6.67,16.67,3.33,3.33,0,0,0,6.67,13.33,0,0,0,13.33,6.67,3.33,0,0.0511,0.0586,1
3.7,0,3.7,0,0,7.41,0,3.7,29.63,14.81,0,3.7,0,0,14.81,0,3.7,3.7,7.41,3.7,0.1165,0.1427,1
0,0,0,0,6.67,0,20,0,33.33,0,6.67,6.67,6.67,0,0,0,13.33,6.67,0,0,0.0713,0.0387,1
7.14,0,0,0,7.14,14.29,7.14,0,0,7.14,7.14,0,14.29,7.14,14.29,7.14,0,0,0,7.14,0.0476,0.0633,1
10,0,0,0,15,0,10,5,20,20,5,0,0,0,10,0,5,0,0,0,0.0972,0.1388,1
14.29,0,4.76,0,4.76,4.76,0,0,14.29,0,0,0,4.76,0,9.52,14.29,4.76,14.29,0,9.52,0.0972,0.0966,1
7.14,7.14,7.14,0,3.57,0,7.14,7.14,3.57,3.57,3.57,17.86,3.57,3.57,3.57,0,3.57,14.29,3.57,0,0.0825,0.0697,1
0,15.38,0,0,23.08,0,0,7.69,7.69,7.69,0,0,0,0,30.77,0,0,7.69,0,0,0.1218,0.1799,1
4.76,4.76,9.52,4.76,0,4.76,0,14.29,0,23.81,0,4.76,4.76,0,9.52,4.76,0,9.52,0,0,0.0722,0.0975,1
0,5.56,0,0,0,16.67,0,11.11,16.67,0,0,0,16.67,0,0,0,5.56,11.11,5.56,11.11,0.096,0.0927,1
0,25,0,0,0,10,5,0,5,0,5,0,0,0,25,0,10,5,0,10,0.0736,0.0947,1
8.33,0,8.33,8.33,8.33,4.17,0,8.33,8.33,0,4.17,4.17,8.33,0,4.17,8.33,8.33,0,4.17,4.17,0.115,0.0678,1
35,0,0,0,0,0,0,0,10,25,0,0,10,0,10,0,0,10,0,0,0.0285,0.0397,1
5,5,0,5,0,5,0,10,0,10,0,15,5,0,5,10,10,5,10,0,0.0802,0.0839,1
9.09,4.55,0,4.55,4.55,0,9.09,13.64,4.55,0,9.09,0,13.64,4.55,9.09,0,9.09,4.55,0,0,0.0769,0.0865,1
11.11,0,11.11,3.7,3.7,0,3.7,7.41,7.41,7.41,0,0,0,0,14.81,0,7.41,7.41,3.7,11.11,0.119,0.1341,1
3.7,0,7.41,7.41,3.7,3.7,0,0,11.11,18.52,0,7.41,3.7,0,3.7,7.41,3.7,7.41,7.41,3.7,0.0914,0.1155,1
7.14,3.57,7.14,0,0,7.14,7.14,3.57,3.57,10.71,10.71,0,7.14,0,25,3.57,3.57,0,0,0,0.0543,0.0725,1
5,5,5,0,5,10,0,5,0,5,5,0,0,5,10,0,10,10,10,10,0.1016,0.1007,1
0,5.56,16.67,5.56,5.56,0,0,0,5.56,22.22,0,0,0,0,5.56,11.11,0,5.56,16.67,0,0.1252,0.1216,1
23.08,0,15.38,0,0,0,7.69,0,0,7.69,7.69,0,0,0,0,15.38,0,15.38,0,7.69,0.0806,0.033,1
22.22,0,5.56,5.56,0,5.56,0,0,11.11,0,5.56,5.56,0,0,11.11,0,22.22,5.56,0,0,0.1238,0.053,1
4.17,0,4.17,4.17,8.33,4.17,4.17,4.17,12.5,8.33,0,4.17,8.33,8.33,12.5,0,0,8.33,4.17,0,0.1066,0.1421,1
8.7,4.35,0,4.35,0,0,8.7,4.35,4.35,4.35,8.7,0,4.35,0,21.74,4.35,17.39,4.35,0,0,0.107,0.0921,1
0,0,0,0,0,13.33,0,6.67,13.33,20,6.67,6.67,6.67,0,13.33,6.67,0,6.67,0,0,0.1146,0.0948,1
5.88,11.76,0,0,0,11.76,0,11.76,0,5.88,0,0,0,5.88,5.88,5.88,5.88,17.65,11.76,0,0.0807,0.0993,1
18.52,3.7,3.7,0,3.7,14.81,0,7.41,3.7,7.41,0,3.7,0,0,3.7,7.41,7.41,7.41,0,7.41,0.0595,0.0734,1
15.38,3.85,3.85,0,3.85,7.69,3.85,7.69,3.85,3.85,7.69,3.85,3.85,0,11.54,0,7.69,0,3.85,7.69,0.1204,0.1053,1
10,0,10,0,10,0,0,10,0,0,15,5,15,0,5,5,5,5,0,5,0.0679,0.0718,1
0,5.56,0,0,5.56,5.56,0,5.56,5.56,16.67,0,0,5.56,0,22.22,0,11.11,5.56,5.56,5.56,0.1343,0.1464,1
35,0,0,5,0,0,0,0,10,20,0,0,10,0,10,0,0,10,0,0,0.0395,0.0569,1
0,0,6.25,0,6.25,0,0,18.75,25,6.25,0,18.75,0,0,0,0,6.25,12.5,0,0,0.1054,0.0691,1
0,5.56,16.67,5.56,5.56,0,0,0,5.56,27.78,0,0,0,0,5.56,11.11,0,0,16.67,0,0.125,0.1224,1
8.7,4.35,4.35,4.35,0,17.39,8.7,4.35,0,8.7,8.7,0,0,0,13.04,4.35,8.7,0,0,4.35,0.0521,0.0646,1
8,0,0,4,4,8,8,8,12,16,0,0,8,0,0,4,0,20,0,0,0.0635,0.087,1
5.26,5.26,5.26,0,10.53,10.53,0,0,26.32,10.53,5.26,0,0,0,21.05,0,0,0,0,0,0.1245,0.1211,1
0,0,4.55,0,4.55,22.73,0,4.55,4.55,4.55,9.09,4.55,9.09,9.09,9.09,0,0,9.09,0,4.55,0.067,0.0718,1
16.67,0,0,0,8.33,8.33,0,8.33,8.33,25,0,0,0,0,8.33,0,8.33,0,0,8.33,0.111,0.0998,1
3.57,7.14,0,7.14,3.57,0,0,7.14,21.43,0,10.71,3.57,3.57,7.14,10.71,0,7.14,3.57,0,3.57,0.0863,0.0647,1
16.67,16.67,5.56,0,5.56,16.67,0,5.56,0,0,5.56,0,5.56,0,0,0,5.56,11.11,0,5.56,0.0468,0.0507,1
14.29,0,0,0,0,0,0,0,38.1,0,4.76,0,0,0,0,4.76,14.29,14.29,0,9.52,0.0642,0.0857,1
0,0,4.76,4.76,14.29,9.52,0,0,4.76,4.76,4.76,19.05,19.05,0,9.52,4.76,0,0,0,0,0.0812,0.0766,1
6.67,0,0,20,6.67,6.67,0,0,6.67,6.67,0,13.33,0,6.67,6.67,6.67,0,6.67,6.67,0,0.0854,0.1198,1
0,20,10,0,0,10,0,10,10,10,0,0,0,0,20,10,0,0,0,0,0.1126,0.1162,1
10.34,6.9,3.45,3.45,0,10.34,0,6.9,13.79,13.79,3.45,6.9,3.45,0,3.45,0,0,10.34,3.45,0,0.0907,0.0901,1
0,5,10,0,5,5,0,5,10,5,5,10,15,0,5,5,15,0,0,0,0.0593,0.061,1
7.69,0,7.69,0,0,15.38,0,0,7.69,15.38,0,0,7.69,0,0,0,7.69,0,30.77,0,0.0862,0.0922,1
0,20,0,3.33,0,16.67,0,3.33,0,6.67,0,6.67,10,0,6.67,6.67,13.33,3.33,3.33,0,0.068,0.0672,1
7.69,0,0,0,0,7.69,0,0,23.08,23.08,7.69,0,0,7.69,0,0,15.38,0,7.69,0,0.0817,0.1347,1
20,0,6.67,0,0,0,0,0,6.67,13.33,6.67,0,6.67,0,0,0,6.67,33.33,0,0,0.0584,0.0346,1
0,0,10,5,0,15,5,0,10,5,15,0,5,0,10,10,5,0,0,5,0.0927,0.1083,1
4,0,0,8,0,16,8,0,12,0,4,0,16,0,16,0,4,4,0,8,0.0991,0.1069,1
3.85,7.69,3.85,7.69,3.85,0,3.85,7.69,0,11.54,0,3.85,3.85,0,7.69,3.85,11.54,3.85,15.38,0,0.0908,0.1113,1
3.7,0,0,3.7,3.7,7.41,3.7,0,0,11.11,0,14.81,11.11,0,7.41,11.11,11.11,3.7,0,7.41,0.0602,0.0546,1
8,4,4,4,12,0,0,0,4,20,4,8,4,8,8,0,0,12,0,0,0.0861,0.0727,1
3.33,20,0,3.33,0,10,0,6.67,6.67,3.33,0,6.67,6.67,0,3.33,13.33,0,10,3.33,3.33,0.0617,0.0689,1
22.22,0,0,0,0,0,0,0,11.11,27.78,0,0,5.56,0,11.11,0,0,22.22,0,0,0.0237,0.043,1
10,10,10,10,0,0,0,0,10,10,0,20,0,0,0,0,10,0,0,10,0.0602,0.0987,1
36.84,5.26,5.26,10.53,0,0,5.26,5.26,0,0,5.26,0,0,0,15.79,0,0,5.26,0,5.26,0.0833,0.1307,1
0,5.88,0,5.88,5.88,0,5.88,5.88,5.88,5.88,11.76,17.65,5.88,0,5.88,11.76,0,0,0,5.88,0.0658,0.0381,1
0,7.14,0,10.71,7.14,3.57,3.57,10.71,7.14,7.14,0,0,0,7.14,28.57,0,0,3.57,0,3.57,0.088,0.118,1
0,5,0,0,5,10,0,5,5,15,0,5,5,0,20,0,10,5,5,5,0.1251,0.1411,1
0,0,0,0,0,41.67,16.67,0,0,0,0,0,0,8.33,0,16.67,0,16.67,0,0,0.0633,0.0454,1
0,13.33,0,0,6.67,0,0,6.67,20,0,13.33,13.33,0,0,6.67,0,13.33,0,0,6.67,0.0531,0.0507,1
3.33,0,10,26.67,0,0,0,10,3.33,6.67,3.33,10,0,6.67,0,6.67,6.67,3.33,3.33,0,0.0524,0.0784,1
8.33,8.33,8.33,8.33,0,0,0,0,0,33.33,0,8.33,0,0,8.33,0,0,16.67,0,0,0.0664,0.0641,1
30,0,5,0,0,0,0,0,10,25,0,0,10,0,10,0,0,10,0,0,0.0393,0.0494,1
4.76,4.76,4.76,0,9.52,14.29,0,0,0,14.29,9.52,4.76,4.76,0,4.76,4.76,0,14.29,4.76,0,0.0665,0.0723,1
4.17,0,0,4.17,12.5,12.5,4.17,4.17,12.5,4.17,0,4.17,8.33,0,4.17,0,16.67,4.17,4.17,0,0.0836,0.0764,1
5,0,5,10,5,0,5,0,0,30,0,5,10,0,5,0,5,0,10,5,0.0799,0.0951,1
7.69,0,0,0,0,15.38,0,0,7.69,23.08,0,7.69,7.69,0,0,7.69,0,7.69,15.38,0,0.0616,0.0802,1
10.71,0,3.57,17.86,0,3.57,3.57,3.57,10.71,17.86,3.57,7.14,0,3.57,0,0,7.14,0,7.14,0,0.0892,0.0888,1
0,9.52,14.29,0,0,4.76,0,4.76,0,14.29,4.76,9.52,19.05,0,4.76,0,0,4.76,9.52,0,0.0678,0.0651,1
7.14,3.57,0,3.57,3.57,0,7.14,3.57,3.57,10.71,10.71,7.14,0,0,25,0,10.71,3.57,0,0,0.054,0.0507,1
3.33,3.33,0,0,0,6.67,6.67,3.33,10,10,16.67,3.33,3.33,3.33,6.67,0,10,6.67,0,6.67,0.0838,0.0537,1
4.76,4.76,0,0,0,0,14.29,4.76,9.52,0,0,14.29,9.52,0,28.57,0,9.52,0,0,0,0.0468,0.0713,1
0,0,0,0,0,50,10,0,10,0,0,20,0,0,0,0,0,10,0,0,0.0768,0.0617,1
10.71,7.14,3.57,0,3.57,7.14,0,0,0,3.57,0,7.14,7.14,0,32.14,0,7.14,0,0,10.71,0.0515,0.0643,1
0,0,3.33,26.67,0,0,0,10,26.67,3.33,0,3.33,0,6.67,0,3.33,3.33,3.33,6.67,3.33,0.0838,0.1124,1
9.52,4.76,4.76,0,0,9.52,0,4.76,0,0,4.76,0,4.76,4.76,19.05,9.52,9.52,9.52,0,4.76,0.0974,0.1077,1
0,0,7.69,0,7.69,0,0,0,7.69,30.77,0,7.69,0,7.69,0,0,7.69,15.38,0,7.69,0.0869,0.0397,1
8.33,4.17,0,20.83,0,0,0,8.33,29.17,4.17,8.33,0,0,4.17,0,0,8.33,0,0,4.17,0.0772,0.121,1
0,4.35,13.04,0,0,0,0,4.35,8.7,0,8.7,0,4.35,0,8.7,8.7,17.39,13.04,8.7,0,0.0878,0.1055,1
3.57,10.71,3.57,0,7.14,0,3.57,7.14,3.57,10.71,0,7.14,14.29,0,3.57,0,3.57,14.29,0,7.14,0.0607,0.0742,1
14.29,7.14,7.14,0,7.14,7.14,0,0,0,14.29,14.29,0,7.14,7.14,0,0,0,7.14,7.14,0,0.0827,0.0611,1
13.33,3.33,3.33,0,10,0,3.33,0,6.67,20,0,3.33,6.67,0,6.67,6.67,3.33,10,3.33,0,0.0957,0.0844,1
4.76,9.52,4.76,0,4.76,4.76,0,4.76,14.29,0,9.52,0,4.76,0,4.76,4.76,9.52,9.52,4.76,4.76,0.0998,0.1059,1
13.64,4.55,4.55,9.09,0,13.64,4.55,4.55,0,0,13.64,4.55,4.55,0,13.64,4.55,0,4.55,0,0,0.0721,0.0964,1
11.11,0,5.56,5.56,0,0,5.56,5.56,0,5.56,11.11,11.11,0,0,11.11,11.11,16.67,0,0,0,0.0789,0.0871,1
10.71,3.57,3.57,0,0,25,0,7.14,3.57,3.57,3.57,7.14,0,0,14.29,3.57,7.14,3.57,0,3.57,0.0457,0.0657,1
0,0,10,0,0,10,0,0,0,10,0,30,10,0,0,0,20,0,0,10,0.0373,0.0517,1
4,8,4,12,4,0,8,4,8,4,8,0,0,0,4,4,12,8,0,8,0.0775,0.0848,1
0,3.57,0,7.14,3.57,0,0,7.14,17.86,3.57,0,3.57,0,7.14,21.43,0,10.71,10.71,0,3.57,0.0675,0.0632,1
14.29,4.76,4.76,4.76,4.76,9.52,0,0,0,14.29,0,14.29,4.76,0,4.76,4.76,4.76,9.52,0,0,0.0657,0.0775,1
7.69,7.69,0,0,0,0,0,0,7.69,0,0,0,0,0,69.23,7.69,0,0,0,0,0.0285,0.0485,1
14.29,0,0,0,7.14,7.14,0,0,7.14,21.43,0,0,0,0,21.43,0,7.14,0,7.14,7.14,0.114,0.1235,1
3.33,20,3.33,0,0,3.33,0,0,3.33,0,3.33,0,0,0,6.67,23.33,16.67,10,3.33,3.33,0.0703,0.0647,1
0,5.56,16.67,5.56,5.56,0,0,5.56,5.56,16.67,0,0,0,0,5.56,11.11,0,5.56,16.67,0,0.126,0.1242,1
0,0,18.18,0,0,0,0,27.27,9.09,0,0,18.18,0,0,0,9.09,0,9.09,9.09,0,0.1226,0.0728,1
0,8.33,8.33,8.33,4.17,4.17,0,4.17,0,0,0,12.5,12.5,0,8.33,4.17,4.17,4.17,16.67,0,0.1057,0.0999,1
21.43,7.14,14.29,0,0,0,0,0,7.14,0,14.29,0,0,0,0,21.43,0,7.14,0,7.14,0.0605,0.0477,1
7.69,7.69,3.85,7.69,0,11.54,0,0,7.69,3.85,11.54,11.54,3.85,0,3.85,3.85,3.85,3.85,3.85,3.85,0.0841,0.083,1
0,0,9.52,0,14.29,9.52,4.76,9.52,9.52,9.52,4.76,4.76,4.76,0,0,0,4.76,14.29,0,0,0.0664,0.0802,1
3.85,0,7.69,30.77,0,0,0,0,26.92,19.23,0,0,0,7.69,0,0,0,3.85,0,0,0.067,0.0957,1
3.57,0,10.71,7.14,0,0,0,7.14,3.57,3.57,10.71,10.71,0,7.14,10.71,3.57,7.14,3.57,7.14,3.57,0.0982,0.1017,1
10,0,5,0,15,10,5,10,10,5,0,10,5,5,0,0,0,10,0,0,0.0768,0.0917,1
7.69,0,0,0,30.77,0,0,0,30.77,15.38,0,0,0,0,0,0,0,7.69,0,7.69,0.0342,0.0576,1
3.7,3.7,0,0,0,7.41,0,11.11,7.41,0,11.11,3.7,3.7,0,33.33,0,7.41,3.7,0,3.7,0.0842,0.0779,1
8.33,0,8.33,0,8.33,0,0,0,0,16.67,0,0,8.33,0,8.33,8.33,0,16.67,0,16.67,0.0684,0.061,1
0,0,0,9.09,4.55,0,0,0,13.64,36.36,0,18.18,0,0,0,0,9.09,4.55,0,4.55,0.0724,0.0884,1
11.11,11.11,5.56,0,0,16.67,0,0,5.56,0,0,0,5.56,5.56,16.67,5.56,0,5.56,0,11.11,0.1005,0.113,1
0,5.56,0,11.11,5.56,0,0,5.56,11.11,16.67,0,0,0,0,11.11,11.11,0,5.56,16.67,0,0.1332,0.143,1
0,0,0,0,0,38.46,23.08,0,0,0,0,0,0,7.69,0,7.69,7.69,15.38,0,0,0.0697,0.0539,1
4.76,4.76,0,4.76,0,4.76,0,9.52,0,9.52,0,0,23.81,0,4.76,0,0,9.52,19.05,4.76,0.1164,0.0824,1
5,5,0,5,15,0,0,10,5,10,0,5,20,0,0,5,5,10,0,0,0.0512,0.0569,1
8.7,4.35,13.04,13.04,0,17.39,0,0,0,4.35,0,8.7,8.7,4.35,4.35,0,4.35,8.7,0,0,0.0515,0.0843,1
3.33,0,0,30,0,0,0,6.67,26.67,6.67,6.67,3.33,0,10,0,0,0,3.33,3.33,0,0.0807,0.091,1
8.33,8.33,16.67,0,0,0,0,0,0,33.33,0,0,8.33,0,8.33,0,8.33,8.33,0,0,0.0799,0.0648,1
0,5.56,11.11,0,0,16.67,11.11,5.56,0,0,0,0,11.11,0,5.56,5.56,5.56,16.67,0,5.56,0.0877,0.0864,1
8,8,4,0,0,16,0,0,12,8,0,4,8,4,0,4,8,12,0,4,0.0737,0.0603,1
0,0,0,0,7.41,7.41,3.7,7.41,22.22,7.41,3.7,3.7,7.41,0,11.11,3.7,3.7,7.41,0,3.7,0.0849,0.0875,1
3.45,6.9,0,0,10.34,17.24,0,6.9,0,27.59,6.9,6.9,0,0,10.34,0,0,3.45,0,0,0.0868,0.0939,1
11.54,3.85,3.85,3.85,3.85,0,3.85,0,7.69,15.38,7.69,3.85,0,0,3.85,11.54,3.85,7.69,0,7.69,0.0751,0.0863,1
0,0,0,0,0,0,28.57,7.14,0,21.43,0,14.29,0,0,0,7.14,0,7.14,14.29,0,0.0585,0.0793,1
7.69,0,0,0,30.77,0,0,7.69,30.77,0,0,0,0,0,0,0,0,15.38,0,7.69,0.0345,0.0581,1
3.33,3.33,3.33,6.67,6.67,13.33,0,0,3.33,16.67,0,6.67,16.67,0,3.33,6.67,0,10,0,0,0.0611,0.0732,1
7.69,0,0,3.85,0,3.85,3.85,7.69,0,23.08,0,11.54,0,23.08,7.69,3.85,0,3.85,0,0,0.0651,0.0879,1
3.33,0,3.33,16.67,0,0,0,10,26.67,3.33,6.67,6.67,0,0,0,0,10,0,6.67,6.67,0.0981,0.1211,1
5,10,10,0,5,10,5,5,0,5,10,0,10,0,0,5,10,0,5,5,0.0579,0.0808,1
15.79,0,0,0,0,10.53,5.26,0,15.79,21.05,5.26,0,0,0,5.26,0,10.53,0,5.26,5.26,0.0905,0.1259,1
6.67,10,3.33,3.33,10,6.67,0,3.33,3.33,6.67,6.67,10,16.67,0,3.33,3.33,3.33,0,3.33,0,0.0725,0.0715,1
5.26,5.26,5.26,0,10.53,21.05,0,5.26,0,5.26,5.26,5.26,0,5.26,15.79,5.26,0,5.26,0,0,0.0956,0.1133,1
25,0,5,5,0,0,0,0,10,10,0,0,10,0,15,5,0,15,0,0,0.0558,0.0693,1
10,10,10,0,5,0,0,0,10,0,5,10,0,0,5,0,5,20,0,10,0.0831,0.0863,1
0,0,8,4,0,4,4,0,12,4,12,8,4,0,4,8,8,16,0,4,0.0684,0.0681,1
4.55,0,0,9.09,0,0,0,0,22.73,4.55,22.73,0,0,0,0,13.64,9.09,9.09,0,4.55,0.093,0.0643,1
10.53,0,10.53,0,10.53,0,0,15.79,0,0,5.26,0,0,0,10.53,0,10.53,15.79,10.53,0,0.1219,0.1334,1
11.76,11.76,0,0,0,5.88,0,0,0,11.76,0,0,0,0,17.65,11.76,5.88,0,17.65,5.88,0.1157,0.0961,1
13.64,0,4.55,4.55,0,13.64,0,4.55,4.55,4.55,0,13.64,9.09,0,4.55,4.55,4.55,9.09,4.55,0,0.0799,0.0943,1
4.55,13.64,4.55,0,0,0,0,4.55,0,9.09,0,4.55,4.55,4.55,22.73,0,4.55,9.09,13.64,0,0.1519,0.1035,1
5.56,5.56,5.56,0,0,11.11,5.56,11.11,0,0,11.11,5.56,0,5.56,5.56,16.67,11.11,0,0,0,0.0646,0.0522,1
4.76,0,4.76,0,4.76,19.05,0,0,4.76,38.1,0,4.76,0,0,4.76,4.76,4.76,4.76,0,0,0.0658,0.1032,1
0,0,0,0,0,15.38,0,0,7.69,30.77,0,0,7.69,0,7.69,7.69,0,7.69,15.38,0,0.0821,0.1177,1
3.33,3.33,13.33,0,3.33,6.67,0,13.33,6.67,13.33,0,3.33,10,6.67,3.33,10,0,0,3.33,0,0.0932,0.0967,1
5,5,0,10,15,0,5,10,5,5,0,5,20,0,0,5,0,10,0,0,0.0653,0.0577,1
8,8,12,0,8,12,4,4,4,12,4,4,4,4,4,4,0,0,0,4,0.0684,0.1067,1
3.33,20,6.67,3.33,0,3.33,0,6.67,6.67,10,0,0,6.67,0,0,10,10,10,3.33,0,0.0503,0.0502,1
3.85,3.85,7.69,3.85,3.85,11.54,7.69,7.69,7.69,3.85,0,0,3.85,11.54,0,0,15.38,3.85,0,3.85,0.0584,0.0639,1
8,0,0,4,4,12,8,4,8,20,0,0,8,0,0,4,0,20,0,0,0.0559,0.0775,1
5,20,0,0,5,5,10,0,10,5,10,0,0,0,10,5,10,0,0,5,0.0691,0.0956,1
30,0,5,0,0,20,0,5,10,10,0,0,5,0,10,0,5,0,0,0,0.0442,0.0545,1
0,3.57,0,0,0,7.14,0,0,0,3.57,17.86,3.57,7.14,3.57,25,0,14.29,3.57,3.57,7.14,0.0845,0.0892,1
